theme,site,n_obs,n_vfolds,target_variable,rmse,hidden_units,penalty,last_targets_date
aquatics,PRPO,369,10,oxygen,1.1246904986765645,10,0.12174338342722882,2022-12-31
aquatics,REDB,548,10,oxygen,0.5424863370151328,9,1.1825324456293741e-9,2022-12-31
aquatics,SUGG,723,10,oxygen,0.835914914475083,6,1.9649734173008328e-7,2022-12-31
aquatics,SYCA,454,10,oxygen,1.7042718598057138,9,5.211410451106598e-4,2022-12-31
aquatics,TECR,790,10,oxygen,0.6690768115295107,4,0.7268904757635856,2022-12-31
aquatics,TOMB,354,10,oxygen,1.5205231161137438,10,1.3308996535273304e-7,2022-12-31
aquatics,TOOK,134,10,oxygen,0.5066058919649322,6,2.1274868917491803e-8,2022-12-31
aquatics,WALK,654,10,oxygen,0.5260855622271382,6,2.113854794888507e-8,2022-12-31
aquatics,WLOU,739,10,oxygen,0.46786932284613003,5,1.0455824454225746e-7,2022-12-31
aquatics,BARC,621,10,chla,6.264842362563129,3,1.1361456575489757e-9,2022-12-31
aquatics,BLWA,295,10,chla,9.226606294016731,10,0.0016437504039902686,2022-12-31
aquatics,CRAM,336,10,chla,1.1698783612701908,6,0.05001093786150194,2022-12-31
aquatics,FLNT,652,10,chla,0.8964577360585141,8,0.2615303556183013,2022-12-31
aquatics,LIRO,305,10,chla,5.89676053327648,3,7.730470694889834e-9,2022-12-31
aquatics,PRLA,91,10,chla,4.612730885074594,8,0.2584748560606295,2022-12-31
aquatics,PRPO,369,10,chla,22.1043844037917,9,1.1625733435971002e-7,2022-12-31
aquatics,SUGG,644,10,chla,6.257659152033835,8,2.0123746310172172e-10,2022-12-31
aquatics,TOMB,350,10,chla,3.302425265330469,10,5.5868076873804314e-5,2022-12-31
aquatics,TOOK,134,10,chla,0.6457612452658107,1,7.691229706720157e-9,2022-12-31
phenology,ABBY,821,10,gcc_90,0.012193499853063625,4,7.260768572837735e-6,2022-12-31
phenology,BARR,464,10,gcc_90,0.028155922048601262,10,6.710669009672207e-5,2022-12-31
phenology,BART,822,10,gcc_90,0.030298245510208852,4,0.018160645702917144,2022-12-31
phenology,BLAN,828,10,gcc_90,0.022816736475229017,4,5.580663480875337e-4,2022-12-31
phenology,BONA,547,10,gcc_90,0.02149618283010938,8,6.129278196683541e-10,2022-12-31
phenology,CLBJ,824,10,gcc_90,0.018035907856807136,4,5.0981032141028065e-5,2022-12-31
phenology,CPER,821,10,gcc_90,0.022218488493977347,4,2.3711218255014015e-6,2022-12-31
phenology,DCFS,824,10,gcc_90,0.01900531762518278,4,0.006255374544045899,2022-12-31
phenology,DEJU,593,10,gcc_90,0.011891890810283337,6,0.31811602580240517,2022-12-31
phenology,DELA,827,10,gcc_90,0.021693280259244024,4,0.003460483595997775,2022-12-31
phenology,DSNY,823,10,gcc_90,0.02580264815693244,4,1.5279019957553166e-10,2022-12-31
phenology,GRSM,824,10,gcc_90,0.03159983287896159,4,3.2538225443556385e-4,2022-12-31
phenology,GUAN,805,10,gcc_90,0.017948237814443387,4,0.39728612051122447,2022-12-31
phenology,HARV,808,10,gcc_90,0.03070228529185528,4,4.222373275727926e-8,2022-12-31
phenology,HEAL,584,10,gcc_90,0.028800831235905006,7,1.9274834012450705e-9,2022-12-31
phenology,JERC,823,10,gcc_90,0.018340052780448646,4,6.596825251550682e-10,2022-12-31
phenology,JORN,826,10,gcc_90,0.011586741474235393,4,2.690924957248013e-4,2022-12-31
phenology,KONA,821,10,gcc_90,0.03276996035365075,4,0.7241146837447717,2022-12-31
phenology,KONZ,819,10,gcc_90,0.0380728593608238,4,2.2913789501864224e-8,2022-12-31
phenology,LAJA,798,10,gcc_90,0.021577915452353626,4,0.014540421033546467,2022-12-31
phenology,LENO,808,10,gcc_90,0.024340408139873333,4,3.4834328711238205e-10,2022-12-31
phenology,MLBS,818,10,gcc_90,0.027885635781664444,4,4.6467907366086646e-5,2022-12-31
